ID,Sampling Site ID,Species,Time,Net,Net Height_M,Age,Sex,Reproductive Condition,Mass,Forearm_mm,WDI,Band Number,Frequency,Comments,Date,
1,73A,Perimyotis subflavus,00-Jan-00,A,3,Juvenile,Male,Non-reproductive,7,31,0,FTC1150,150.486,,20-Jul-20,
2,73A,Nycticeius humeralis,00-Jan-00,C,2,Adult,Male,Testis descended,6,32,0,,,,20-Jul-20,
3,73A,Lasiurus borealis,00-Jan-00,B,1,Adult,Female,Post-lactating,15,35,0,,,,20-Jul-20,
4,73A,Perimyotis subflavus,00-Jan-00,D,2,Juvenile,Female,Non-reproductive,4,35.4,0,FTC1149,150.873,,20-Jul-20,
5,73A,Lasiurus borealis,00-Jan-00,A,2,Juvenile,Male,Non-reproductive,14,37.5,0,,,,20-Jul-20,
6,73A,Eptesicus fuscus,00-Jan-00,D,2,Adult,Female,Post-lactating,28,47.5,0,,,,20-Jul-20,
7,73A,Lasiurus borealis,00-Jan-00,D,2,Unknown,,,,,,,,escaped net,20-Jul-20,
8,73A,Lasiurus borealis,00-Jan-00,D,2,Adult,Male,Non-reproductive,10,35,0,,,,20-Jul-20,
9,73A,Eptesicus fuscus,00-Jan-00,D,2,Adult,Male,Testis descended,18,45.1,0,,,,20-Jul-20,
10,73A,Eptesicus fuscus,00-Jan-00,B,2,Adult,Female,Non-reproductive,26,48.5,0,,,,20-Jul-20,
11,73A,Eptesicus fuscus,00-Jan-00,D,4,Adult,Female,Non-reproductive,19,49.4,0,,,,20-Jul-20,
12,73A,Lasiurus borealis,00-Jan-00,D,3,Adult,Male,Testis descended,11,39.5,0,,,,20-Jul-20,
13,73A,Perimyotis subflavus,00-Jan-00,D,4,Juvenile,Male,Non-reproductive,3,33.25,0,FTC1148,,too small to attach transmitter,20-Jul-20,
14,62A,Perimyotis subflavus,00-Jan-00,A,2,Adult,Female,Post-lactating,6.5,34.1,0,FTC1147,150.611,,21-Jul-20,
15,62A,Lasiurus borealis,00-Jan-00,A,2,Adult,Female,Post-lactating,10,40.2,0,,,,21-Jul-20,
16,62A,Perimyotis subflavus,00-Jan-00,B,3,Adult,Female,Pregnant,6,35.8,0,FTC1146,150.923,,21-Jul-20,
17,62A,Perimyotis subflavus,00-Jan-00,A,3,Adult,Male,Testis descended,3,32.95,0,FTC1145,,too small to attach transmitter,21-Jul-20,
18,62A,Lasiurus borealis,00-Jan-00,A,2,Juvenile,Female,Non-reproductive,10,40,0,,,,21-Jul-20,
19,62A,Nycticeius humeralis,00-Jan-00,A,5,Adult,Male,Non-reproductive,11,35.3,0,,,,21-Jul-20,
20,62A,Myotis grisescens,00-Jan-00,B,1,Adult,Male,Non-reproductive,9,43.5,1,FTC1650,,,21-Jul-20,
21,62A,Myotis grisescens,00-Jan-00,A,1.5,Adult,Male,Non-reproductive,13,42.8,1,FTC1649,,,21-Jul-20,
22,62A,Myotis grisescens,00-Jan-00,A,1.5,Adult,Female,Non-reproductive,8,43.9,1,FTC1648,,,21-Jul-20,
23,62A,Lasiurus borealis,00-Jan-00,A,5,Juvenile,Male,Non-reproductive,9,38.9,0,,,,21-Jul-20,
24,62A,Perimyotis subflavus,00-Jan-00,A,,,,,,,,,,escaped net,21-Jul-20,
25,62A,Myotis grisescens,00-Jan-00,B,,,,,,,,,,escaped net,21-Jul-20,
90,51A,Perimyotis subflavus,00-Jan-00,C,1.5,Adult,Male,Testis descended,8,34.7,0,FTC1143,150.898,,4-Aug-20,
91,51A,Lasiurus borealis,00-Jan-00,B,2,Adult,Female,Non-reproductive,12,41.8,0,,,,4-Aug-20,
92,51A,Lasiurus borealis,00-Jan-00,B,2,Adult,Female,Non-reproductive,8,40.7,0,,,,4-Aug-20,
93,51A,Myotis grisescens,00-Jan-00,B,1,Adult,Male,Testis descended,11,43.3,0,FTC1646,,,4-Aug-20,
94,51A,Myotis grisescens,00-Jan-00,B,1,Adult,Male,Testis descended,9,45.2,0,FTC1644,,,4-Aug-20,
95,51A,Myotis grisescens,00-Jan-00,B,1,Adult,Male,Testis descended,10,43.5,0,FTC1645,,,4-Aug-20,
168,43M,Lasiurus borealis,00-Jan-00,B,1,Adult,Female,Pregnant,16.5,,,,,,01-Jun-21,
236,71A,Eptesicus fuscus,00-Jan-00,A,3.5,Adult,Female,Post-lactating,20,49.5,0,,,,13-Jul-21,
283,10A,Nycticeius humeralis,00-Jan-00,C,4.5,Juvenile,Male,Testis descended,10,34.3,0,,,,21-Jul-21,
281,10A,Eptesicus fuscus,00-Jan-00,C,5,Adult,Female,Post-lactating,22,50,0,,,,21-Jul-21,
282,10A,Nycticeius humeralis,00-Jan-00,C,5.5,Adult,Male,Testis descended,11,32.1,0,,,,21-Jul-21,
280,10A,Nycticeius humeralis,00-Jan-00,A,5,Juvenile,Female,Non-reproductive,10,36.3,0,,,,21-Jul-21,
279,10A,Eptesicus fuscus,00-Jan-00,A,3,Adult,Female,Post-lactating,25,48.3,0,,,,21-Jul-21,
278,10A,Nycticeius humeralis,00-Jan-00,A,6,Juvenile,Female,Non-reproductive,9,33.4,0,,,,21-Jul-21,
277,10A,Lasiurus borealis,00-Jan-00,D,3,Juvenile,Female,Non-reproductive,9,39.5,0,,,,21-Jul-21,
276,10A,Eptesicus fuscus,00-Jan-00,B,5,Adult,Female,Post-lactating,24,49.4,0,,,,21-Jul-21,
312,12A,Lasiurus borealis,00-Jan-00,C,2,Juvenile,Male,Non-reproductive,9.5,39,0,,,,21-Jul-21,
302,50A,Lasiurus borealis,00-Jan-00,A,5,Unknown,Unknown,Unknown,,,,,,,26-Jul-21,
303,50A,Lasiurus borealis,00-Jan-00,A,4,Unknown,Unknown,Unknown,,,,,,,26-Jul-21,
301,50A,Nycticeius humeralis,00-Jan-00,A,3,Adult,Male,Testis descended,8,35.1,0,,,,26-Jul-21,
304,50A,Nycticeius humeralis,00-Jan-00,C,3,Juvenile,Female,Non-reproductive,10,36,0,,,,26-Jul-21,
300,50A,Lasiurus borealis,00-Jan-00,C,3,Juvenile,Male,Testis descended,7.5,39.5,0,,,,26-Jul-21,
299,50A,Lasiurus borealis,00-Jan-00,B,1.5,Juvenile,Female,Non-reproductive,14,44.8,0,,,,26-Jul-21,
298,50A,Perimyotis subflavus,00-Jan-00,C,4,Adult,Female,Post-lactating,4.75,34.5,0,FTC1133,,,26-Jul-21,
297,50A,Nycticeius humeralis,00-Jan-00,B,4,Juvenile,Female,Non-reproductive,9.5,35.8,0,,,,26-Jul-21,
296,50A,Nycticeius humeralis,00-Jan-00,C,4,Juvenile,Female,Non-reproductive,9.5,35.4,0,,,,26-Jul-21,
295,50A,Nycticeius humeralis,00-Jan-00,C,2,Adult,Male,Testis descended,9.5,34.9,0,,,,26-Jul-21,
293,50A,Nycticeius humeralis,00-Jan-00,B,5,Adult,Male,Testis descended,9,36.8,0,,,,26-Jul-21,
294,50A,Perimyotis subflavus,00-Jan-00,A,4.5,Adult,Female,Post-lactating,4.75,34.5,0,FTC1133,,,26-Jul-21,
328,75A,Eptesicus fuscus,00-Jan-00,C,2,Adult,Female,Pregnant,21.5,49.9,0,,,,28-Jul-21,
336,33A,Lasiurus borealis,00-Jan-00,B,3.5,Adult,Female,Non-reproductive,9,40.7,0,,,,04-Aug-21,
335,33A,Nycticeius humeralis,00-Jan-00,B,2.5,Adult,Male,Testis descended,8.5,35.5,0,,,,04-Aug-21,
334,33A,Lasiurus borealis,00-Jan-00,A,5,Unknown,Unknown,Unknown,,,,,,,04-Aug-21,
333,33A,Lasiurus borealis,00-Jan-00,B,2,Adult,Female,Non-reproductive,15.5,40.7,0,,,,04-Aug-21,
332,33A,Eptesicus fuscus,00-Jan-00,A,6,Adult,Female,Non-reproductive,19.5,47.1,0,,,,04-Aug-21,
331,33A,Lasiurus borealis,00-Jan-00,C,3,Adult,Male,Testis descended,8.5,39.3,0,,,,04-Aug-21,
