Site,SubSample,Trap Type,Order,Family,# Count,Total Site EPT Richness
10A,1,Dip,Diptera,Simuliidae,1,
10A,1,Dip,Diptera,Chironomidae,2,
10A,1,Hess,Ephemeroptera,Baetidae,1,
10A,1,Hess,Plecoptera,Leuctridae,5,
10A,1,Hess,Trichoptera,Polycentropodidae,1,
10A,1,Hess,Trichoptera,Hydropsychidae,1,
10A,1,Hess,Diptera,Chironomidae,5,
10A,1,Seine,Plecoptera,Leuctridae,2,
10A,1,Seine,Plecoptera,Perlodidae,1,
10A,1,Seine,Trichoptera,Hydropsychidae,7,
10A,1,Seine,Trichoptera,Philopotamidae,4,
10A,1,Seine,Diptera,Chironomidae,7,6
12A,1,Dip,Diptera,Chironomidae,2,0
15A,1,Seine,Diptera,Chironomidae,1,0
15A,2,Hess,Plecoptera,Chloroperlidae,1,
15A,2,Hess,Diptera,Chironomidae,1,
33A,1,Dip,Ephemeroptera,Caenidae,2,
33A,1,Dip,Diptera,Chironomidae,1,
33A,1,Hess,Ephemeroptera,Caenidae,5,
33A,1,Hess,Diptera,Chironomidae,4,
33A,1,Kick,Ephemeroptera,Heptageniidae,2,
33A,1,Kick,Ephemeroptera,Caenidae,1,
33A,1,Kick,Diptera,Chironomidae,9,
33A,2,Hess,Diptera,Chironomidae,4,
33A,3,Hess,Ephemeroptera,Caenidae,2,3
33A,3,Hess,Ephemeroptera,Leptophlebiidae,1,
33A,3,Hess,Diptera,Chironomidae,23,
43M,1,Dip,Plecoptera,Perlidae,1,
43M,1,Dip,Trichoptera,Hydropsychidae,1,
43M,1,Dip,Diptera,Chironomidae,2,
43M,1,Hess,Ephemeroptera,Heptageniidae,2,
43M,1,Hess,Diptera,Chironomidae,1,
43M,1,Seine,Trichoptera,Hydropsychidae,2,
50A,1,Dip,Ephemeroptera,Baetidae,1,3
50A,1,Dip,Ephemeroptera,Caenidae,2,
50A,1,Dip,Odonata,Libellulidae,1,
50A,1,Dip,Odonata,Coenagrionidae,2,
50A,1,Dip,Diptera,Chironomidae,3,
50A,1,Dip,Ephemeroptera,Heptageniidae,5,
50A,1,Dip,Ephemeroptera,Leptophlebiidae,1,
50A,1,Hess,Odonata,Coenagrionidae,1,
50A,1,Hess,Diptera,Chironomidae,3,
