Order,Family,Latin Name,Tolerance Value
Ephemeroptera,AMELETIDAE,Ameletus lineatus,2.4
Ephemeroptera,BAETIDAE,Acentrella alachua,3.0
Ephemeroptera,BAETIDAE,Acentrella nadineae,1.9
Ephemeroptera,BAETIDAE,Acentrella parvula,4.8
Ephemeroptera,BAETIDAE,Acentrella spp,2.5
Ephemeroptera,BAETIDAE,Acentrella turbida gr,2.0
Ephemeroptera,BAETIDAE,Acerpenna pygmaea,3.7
Ephemeroptera,BAETIDAE,Baetis flavistriga,6.8
Ephemeroptera,BAETIDAE,Baetis intercalaris,5.0
Ephemeroptera,BAETIDAE,Baetis pluto,3.4
Ephemeroptera,BAETIDAE,Baetis tricaudatus,1.5
Ephemeroptera,BAETIDAE,Callibaetis spp,9.2
Ephemeroptera,BAETIDAE,Centroptilum spp,3.8
Ephemeroptera,BAETIDAE,Cloeon spp,7.3
Ephemeroptera,BAETIDAE,Diphetor hageni,1.1
Ephemeroptera,BAETIDAE,Heterocloeon amplum,3.4
Ephemeroptera,BAETIDAE,Heterocloeon curiosum,2.1
Ephemeroptera,BAETIDAE,Heterocloeon spp,3.7
Ephemeroptera,BAETIDAE,Iswaeon anoka,4.4
Ephemeroptera,BAETIDAE,Labiobaetis ephippiatus,3.5
Ephemeroptera,BAETIDAE,Labiobaetis frondalis,4.6
Ephemeroptera,BAETIDAE,Labiobaetis propinquus,5.8
Ephemeroptera,BAETIDAE,Paracloeodes spp,8.0
Ephemeroptera,BAETIDAE,Plauditus cestus,4.6
Ephemeroptera,BAETIDAE,Plauditus dubius gr,2.2
Ephemeroptera,BAETIDAE,Procloeon spp,1.9
Ephemeroptera,BAETISCIDAE,Baetisca berneri,1.4
Ephemeroptera,BAETISCIDAE,Baetisca carolina,4.2
Ephemeroptera,BAETISCIDAE,Baetisca spp,3.2
Ephemeroptera,CAENIDAE,Brachycercus spp,2.1
Ephemeroptera,CAENIDAE,Caenis spp,6.8
Ephemeroptera,EPHEMERELLIDAE,Attenella attenuata,1.1
Ephemeroptera,EPHEMERELLIDAE,Dannella simplex,3.4
Ephemeroptera,EPHEMERELLIDAE,Drunella allegheniensis,0.3
Ephemeroptera,EPHEMERELLIDAE,Drunella conestee,0.0
Ephemeroptera,EPHEMERELLIDAE,Drunella cornutella,0.0
Ephemeroptera,EPHEMERELLIDAE,Drunella lata,0.0
Ephemeroptera,EPHEMERELLIDAE,Drunella tuberculata,0.0
Ephemeroptera,EPHEMERELLIDAE,Drunella walkeri,0.6
Ephemeroptera,EPHEMERELLIDAE,Drunella wayah,0.0
Ephemeroptera,EPHEMERELLIDAE,Ephemerella catawba,0.0
Ephemeroptera,EPHEMERELLIDAE,Ephemerella catawba/dorothea,4.0
Ephemeroptera,EPHEMERELLIDAE,Ephemerella dorothea,3.3
Ephemeroptera,EPHEMERELLIDAE,Ephemerella hispida,0.1
Ephemeroptera,EPHEMERELLIDAE,Ephemerella invaria gr,2.6
